model,rate,seed,channel,mse,mae
LSTM,0.0,0,water_level,0.012315382652154165,0.08684117872371529
LSTM,0.0,0,air_temp,1.4272276418095688,0.8655816946845238
LSTM,0.0,0,water_temp,0.6610816774507402,0.5689789223665769
LSTM,0.0,0,air_pressure,2.7528609009179563,1.2488467362319058
LSTM,0.0,0,wind_u,2.0759444060149015,1.0949288987952852
LSTM,0.0,0,wind_v,2.1266121334499783,1.0567609420930497
Latent ODE,0.0,0,water_level,0.26207500038371934,0.4082973113859413
Latent ODE,0.0,0,air_temp,2.363314174848163,1.1041048570186707
Latent ODE,0.0,0,water_temp,0.7534710273435373,0.5874460935852197
Latent ODE,0.0,0,air_pressure,4.236819549775322,1.5420458552221623
Latent ODE,0.0,0,wind_u,2.142028802171701,1.1298559747561059
Latent ODE,0.0,0,wind_v,3.330279090187766,1.410041327428336
LSTM,0.0,1,water_level,0.012315382652154165,0.08684117872371529
LSTM,0.0,1,air_temp,1.4272276418095688,0.8655816946845238
LSTM,0.0,1,water_temp,0.6610816774507402,0.5689789223665769
LSTM,0.0,1,air_pressure,2.7528609009179563,1.2488467362319058
LSTM,0.0,1,wind_u,2.0759444060149015,1.0949288987952852
LSTM,0.0,1,wind_v,2.1266121334499783,1.0567609420930497
Latent ODE,0.0,1,water_level,0.26207500038371934,0.4082973113859413
Latent ODE,0.0,1,air_temp,2.363314174848163,1.1041048570186707
Latent ODE,0.0,1,water_temp,0.7534710273435373,0.5874460935852197
Latent ODE,0.0,1,air_pressure,4.236819549775322,1.5420458552221623
Latent ODE,0.0,1,wind_u,2.142028802171701,1.1298559747561059
Latent ODE,0.0,1,wind_v,3.330279090187766,1.410041327428336
LSTM,0.0,2,water_level,0.012315382652154165,0.08684117872371529
LSTM,0.0,2,air_temp,1.4272276418095688,0.8655816946845238
LSTM,0.0,2,water_temp,0.6610816774507402,0.5689789223665769
LSTM,0.0,2,air_pressure,2.7528609009179563,1.2488467362319058
LSTM,0.0,2,wind_u,2.0759444060149015,1.0949288987952852
LSTM,0.0,2,wind_v,2.1266121334499783,1.0567609420930497
Latent ODE,0.0,2,water_level,0.26207500038371934,0.4082973113859413
Latent ODE,0.0,2,air_temp,2.363314174848163,1.1041048570186707
Latent ODE,0.0,2,water_temp,0.7534710273435373,0.5874460935852197
Latent ODE,0.0,2,air_pressure,4.236819549775322,1.5420458552221623
Latent ODE,0.0,2,wind_u,2.142028802171701,1.1298559747561059
Latent ODE,0.0,2,wind_v,3.330279090187766,1.410041327428336
LSTM,0.0,3,water_level,0.012315382652154165,0.08684117872371529
LSTM,0.0,3,air_temp,1.4272276418095688,0.8655816946845238
LSTM,0.0,3,water_temp,0.6610816774507402,0.5689789223665769
LSTM,0.0,3,air_pressure,2.7528609009179563,1.2488467362319058
LSTM,0.0,3,wind_u,2.0759444060149015,1.0949288987952852
LSTM,0.0,3,wind_v,2.1266121334499783,1.0567609420930497
Latent ODE,0.0,3,water_level,0.26207500038371934,0.4082973113859413
Latent ODE,0.0,3,air_temp,2.363314174848163,1.1041048570186707
Latent ODE,0.0,3,water_temp,0.7534710273435373,0.5874460935852197
Latent ODE,0.0,3,air_pressure,4.236819549775322,1.5420458552221623
Latent ODE,0.0,3,wind_u,2.142028802171701,1.1298559747561059
Latent ODE,0.0,3,wind_v,3.330279090187766,1.410041327428336
LSTM,0.0,4,water_level,0.012315382652154165,0.08684117872371529
LSTM,0.0,4,air_temp,1.4272276418095688,0.8655816946845238
LSTM,0.0,4,water_temp,0.6610816774507402,0.5689789223665769
LSTM,0.0,4,air_pressure,2.7528609009179563,1.2488467362319058
LSTM,0.0,4,wind_u,2.0759444060149015,1.0949288987952852
LSTM,0.0,4,wind_v,2.1266121334499783,1.0567609420930497
Latent ODE,0.0,4,water_level,0.26207500038371934,0.4082973113859413
Latent ODE,0.0,4,air_temp,2.363314174848163,1.1041048570186707
Latent ODE,0.0,4,water_temp,0.7534710273435373,0.5874460935852197
Latent ODE,0.0,4,air_pressure,4.236819549775322,1.5420458552221623
Latent ODE,0.0,4,wind_u,2.142028802171701,1.1298559747561059
Latent ODE,0.0,4,wind_v,3.330279090187766,1.410041327428336
LSTM,0.2,0,water_level,0.011887419068120363,0.0853621987806415
LSTM,0.2,0,air_temp,1.4452316778813072,0.8639210379436393
LSTM,0.2,0,water_temp,0.6178161385218718,0.552083745284094
LSTM,0.2,0,air_pressure,2.6724015697789207,1.2261318305225661
LSTM,0.2,0,wind_u,2.0801010966702345,1.0919338444668034
LSTM,0.2,0,wind_v,2.071342757253936,1.04035451356008
Latent ODE,0.2,0,water_level,0.2621639367403257,0.40825897078606493
Latent ODE,0.2,0,air_temp,2.360075289416501,1.1026888957382597
Latent ODE,0.2,0,water_temp,0.7107707828627208,0.5778403519909288
Latent ODE,0.2,0,air_pressure,4.092300681880756,1.5070950212598635
Latent ODE,0.2,0,wind_u,2.069391449693879,1.095550537109375
Latent ODE,0.2,0,wind_v,3.3329172230730153,1.4206950576217086
LSTM,0.2,1,water_level,0.012184165838694713,0.0861907374888985
LSTM,0.2,1,air_temp,1.4182921523706165,0.8576260747927851
LSTM,0.2,1,water_temp,0.6228677196074954,0.5515752286140679
LSTM,0.2,1,air_pressure,2.6358241209167232,1.219755876036335
